iter	Passed	Remaining
0	5	520
1	9	475
2	13	451
3	17	419
4	19	372
5	21	339
6	23	314
7	25	296
8	27	282
9	29	268
10	32	259
11	34	250
12	36	242
13	38	234
14	40	227
15	42	222
16	44	215
17	45	208
18	47	203
19	49	197
20	50	190
21	52	184
22	53	179
23	55	174
24	56	168
25	57	162
26	58	158
27	59	152
28	60	148
29	61	144
30	62	139
31	63	135
32	64	131
33	65	127
34	66	123
35	67	120
36	68	116
37	69	113
38	70	109
39	71	106
40	72	103
41	72	100
42	73	97
43	74	94
44	75	91
45	76	89
46	76	86
47	77	84
48	78	81
49	79	79
50	80	77
51	81	75
52	82	72
53	82	70
54	83	68
55	84	66
56	85	64
57	86	62
58	86	60
59	87	58
60	88	56
61	89	54
62	90	53
63	91	51
64	92	49
65	93	47
66	93	46
67	94	44
68	95	43
69	96	41
70	97	39
71	98	38
72	99	36
73	100	35
74	101	33
75	102	32
76	102	30
77	103	29
78	104	27
79	105	26
80	106	24
81	107	23
82	108	22
83	109	20
84	110	19
85	111	18
86	111	16
87	112	15
88	113	14
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	120	5
96	121	3
97	121	2
98	122	1
99	123	0
